ID,NOMBRE,DESCRIPCION,HORARIO,TELEFONO,TIPO,SUB_TIPO,LATITUD,LONGITUD,DIRECCION
5635,ATM: 702 Av. 6 de Agosto LP,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.5056026752,-68.12985515,"Av. 6 de Agosto N° 227, esq., Calle J. J. Perez, Zona Sopocachi."
6175,ATM: 734 6 de Agosto,Cajero Automático,Horario.SI,80010399,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.513007969421196,-68.12241655302833,Av. 6 de Agosto entre Calles Campos y Cordero
164,ATM: 186 IC Norte América,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.3726361111,-66.1511472222,"Av. América N° 817, Supermercado IC Norte América."
3892,ATM: 440 Makro Parque,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.765000552147654,-63.14778421392629,"Av. Cuarto Anillo, final Av. Paragua, Parque Industrial."
5590,ATM: 332 Av. Dorbigni y Juan Pablo II,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.385891768452314,-66.19907716480374,"Av. Juan Pablo II, esq. D'orbigni N° 28, Zona Seminario."
6179,ATM: 727 Teleférico Estación Mirador,Cajero Automático,Horario.NO,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.517995288189134,-68.15045475003191,"Av. Nuñez del Prado, Estación Mirador, Teleférico Amarillo, El Alto."
2064,ATM: 417 Hipermaxi Equipetrol,Cajero Automático,Horario.SI,800-103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-17.75759623314822,-63.200538151335955,"Av. San Martin, Esq. 4to. Anillo."
5627,ATM: 711 Av. Satélite,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.523175714427364,-68.15268293828012,"Av. Satélite, Plan 50 N° 650, Zona Ciudad Satélite, El Alto."
6171,ATM: 732 Uruguay,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-16.49095096662471,-68.13912531429725,Av. Uruguay esq. Av. Ismael Montes.
5338,ATM: 475 Supermercado TIA,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.7814103,-63.1534527,"Avenida Virgen de Cotoca N° 3872, entre 3er. Anillo Interno y 3er. Anillo Externo."
5616,ATM: 704 Plaza Villarroel,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESTANDAR,-16.485164743664427,-68.1223058367078,"Calle General Monje N° 100, entre Av. EEUU y Av. Busch, frente a la Plaza Villarroel, Zona Miraflores."
2528,ATM: 425 Ag. Ambassador I - Depositario,Cajero Automático,Horario.SI,800-103999.,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.768290596816694,-63.193716692478915,"Instalaciones de la Agencia Ambassador ubicada en el Centro Empresarial Ambassador, Barrio Equipetrol, sobre Av. San Martin."
3279,ATM: 433 Supermercado PRONTO,Cajero Automático,Horario.SI,800103999,Tipo.ATM,SubTipo.ATM_ESPECIAL,-17.77462044261823,-63.16552811642316,"Instalaciones del Supermercado Pronto, Av. Santa Cruz, 2do Anillo, esquina Av. Paragua."
10,AGENCIA MUTUALISTA,Santa Cruz,Horario.NO,(591-3) 317 3000,Tipo.AGENCIA,SubTipo.AGENCIA_NORMAL,-17.763036342056274,-63.163291353162656,"3er Anillo Int. N° 1050, entre Calles Sandía y Buena Vista."
