id,name,latitude,longitude,address,notes,email,telephone,working_hours,creation_date,modified_date,poitype,city_name,state_name
3646,Sucursal Oficina Trinidad,-14.83308,-64.90342,Calle Cipriano Barace esq. Calle Sucre s/n.,,,34629777,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.470000+00:00,2023-07-05 16:12:30.973000+00:00,BRANCH,TRINIDAD,BENI
3647,Sucursal Oficina Sucre,-19.047,-65.25774,Calle San Alberto esq. España N° 102,,,46443901,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.487000+00:00,2023-07-05 16:12:30.973000+00:00,BRANCH,SUCRE,CHUQUISACA
3648,Agencia Mercado Campesino,-19.0341,-65.2554,"Calle J. Prudencio Bustillos, entre Raul Otero y Ostria Reyes No. 61",,,46458350,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.487000+00:00,2023-07-05 16:12:30.973000+00:00,BRANCH,SUCRE,CHUQUISACA
3649,Agencia Autobanco Jaime Mendoza,-19.04437,-65.25114,"Av. Jaime Mendoza esquina calle Destacamento 317( lote N° 1), zona la Madona",,,46443900,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.487000+00:00,2023-07-05 16:12:30.973000+00:00,BRANCH,SUCRE,CHUQUISACA
3650,Sucursal Central Cochabamba,-17.3839,-66.15941,Av. Ballivián N° 799 esq. Tnte. Arévalo paseo El Prado,,,44252722,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.487000+00:00,2023-07-05 16:12:30.990000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
3651,Agencia Nataniel Aguirre,-17.39598,-66.15719,Calle Nataniel Aguirre N° 444.,,,44253811,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.500000+00:00,2023-07-05 16:12:30.990000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
3652,Agencia Quillacollo,-17.3951,-66.2799,"Calle General Pando No. 136, Shopping Guadalupe",,,44368623,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.500000+00:00,2023-07-05 16:12:30.990000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
3653,Agencia Ayacucho,-17.40407,-66.15772,"Avenida Ayacucho s/n esquina Tarata, zona Sud",,,44552557,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.500000+00:00,2023-07-05 16:12:30.990000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
3654,Agencia Sacaba,-17.402993,-66.0402453,"calle Beneméritos de la Patria s/n entre calles Ayacucho y Junín, Zona Central de la Localidad de Sacaba.",,,44140647,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.500000+00:00,2025-08-27 11:17:08.597000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
3655,Agencia Colcapirhua,-17.39122,-66.23789,Av. Blanco Galindo Km. 9 S/N entre Avenida Cuarta y Avenida Sexta.,,,44377219,Lunes a viernes de hrs. 09:00 a 16:00 y sábado de 09:00 a 13:00,2021-07-20 15:22:04.500000+00:00,2023-07-05 16:12:30.990000+00:00,BRANCH,COCHABAMBA,COCHABAMBA
