id,titulo,zona,direccion,codigo,codigo_asfi,latitud,longitud,ciudad,discapacitados,deposito_cheque,deposito_efectivo,horario_atencion,estado_aprobacion,monedas_disponibles,telefono_emergencia,servicios_ofertados,tipo_punto_atencion
2862,LOS ANGELES,"AV. JAIME MENDOZA Nº1802, ENTRE MANUEL ASCENCIO PADILLA Y GREGORIO REYNOLDS","AV. JAIME MENDOZA Nº1802, ENTRE MANUEL ASCENCIO PADILLA Y GREGORIO REYNOLDS",MSR168,BME87,-19.0372444444444,-65.2553611111111,Sucre,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+691 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
2863,OF CENTRAL 2,CALLE ESPAÑA Nº 55 - OFICINA CENTRAL,CALLE ESPAÑA Nº 55 - OFICINA CENTRAL,MSR171,BME89,-19.0472777777778,-65.2582055555555,Sucre,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,6914010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
2864,JUNIN SUCRE,"CALLE JUNIN NO 131, ESQUINA MIGUEL ANGEL VALDA","CALLE JUNIN NO 131, ESQUINA MIGUEL ANGEL VALDA",MSR172,BME91,-19.0413527777778,-65.2564944444444,Sucre,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+691 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
2865,SUPERMERCADO SAS,CALLE PEREZ NO 349 ENTRE CALLE LA PAZ Y CALLE COLON,CALLE PEREZ NO 349 ENTRE CALLE LA PAZ Y CALLE COLON,MSR361,BME92,-19.0512138888889,-65.2617638888889,Sucre,False,False,False,Lun-Dom%08:00%22:00,Aprobado,BOLIVIANOS,6914010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Interno
2867,AG CENTRAL,CALLE ESPAÑA Nº55 - OFICINA CENTRAL,CALLE ESPAÑA Nº55 - OFICINA CENTRAL,MSR167,BME95,-19.0472805555556,-65.2582055555555,Sucre,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+691 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
2868,AG TUMUSLA GARITA,AV. TUMUSLA N° 734 CASI ESQ. AV. BUENOS AIRES ZONA 14 DE SEPTIEMBRE,AV. TUMUSLA N° 734 CASI ESQ. AV. BUENOS AIRES ZONA 14 DE SEPTIEMBRE,MLP144,BME97,-16.4953444444444,-68.1446083333333,La Paz,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
2869,PLAZA EL CONDOR,PLAZA EL CÓNDOR  ESQUINA LANDAETA,PLAZA EL CÓNDOR  ESQUINA LANDAETA,MLP141,BME98,-16.5089472222222,-68.1356611111111,La Paz,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,+211 4 010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Con Recinto
2871,HUYUSTUS,AV. BUENOS AIRES ESQ. HUYUSTUS,AV. BUENOS AIRES ESQ. HUYUSTUS,MLP128,BME105,-16.4940861111111,-68.1439861111111,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Con Recinto
2872,V CENTENARIO,AV. 6 DE AGOSTO EDIF. V CENTENARIO,AV. 6 DE AGOSTO EDIF. V CENTENARIO,MLP125,BME106,-16.5057111111111,-68.1297416666667,La Paz,False,False,False,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros y transferencias a otros bancos.",Cajero Automático Externo - Sin Recinto
2873,AG ACHUMANI C 16,"CALLE 16 N°2, ZONA ACHUMANI","CALLE 16 N°2, ZONA ACHUMANI",MLP117,BME108,-16.5301342,-68.07352195,La Paz,False,False,True,Lun-Dom%00:00%23:59,Aprobado,BOLIVIANOS,2114010,"Retiros, consultas, informaciones, donaciones, cambio de pin, pago de préstamos, pago de tarjetas de crédito, transferencia a cuentas propias, trasferencia a terceros, depósito de efectivo y transferencias a otros bancos.",Cajero Automático Especial Externo - Sin Recinto
