id,codigo,titulo,telefono,direccion,latitud,longitud,es_autobanco,es_principal,ciudad,departamento,horario_atencion,estado_aprobacion,tipo_punto_atencion1,tipo_punto_atencion2,servicios_ofertados,tiene_pos
526,1,SUCURSAL SUCRE,(591-4) 6443951,"CALLE ESPAÑA NO 55, ZONA CENTRAL",-19.0472667,-65.2581861,False,True,Sucre,Chuquisaca,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Sucursal,Sucursal,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
527,3,OFICINA CENTRAL,(591-2) 2409040,AYACUCHO ESQ. MERCADO No 295,-16.4976703,-68.1343892,False,True,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Oficina Central,Oficina Central,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
528,5,AGENCIA CALACOTO,(591-2) 2409040,AVENIDA BALLIVIÁN No 475,-16.5401389,-68.0891778,True,False,La Paz,La Paz,Lun-Sab%09:00%20:00,Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
529,6,AGENCIA ACHUMANI,(591-2) 2409040,"CALLE 16 No 7, FRENTE AL MERCADO DE ACHUMANI",-16.5305083,-68.0732806,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
530,7,AGENCIA TUMUSLA,(591-2) 2409040,CALLE TUMUSLA No 734,-16.4953333,-68.1447222,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
531,8,AGENCIA SAN MIGUEL,(591-2) 2409040,AVENIDA BALLIVIAN No 1426 ESQUINA CALLE 21 - CALACOTO,-16.5391667,-68.0782028,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
532,9,AGENCIA PEREZ VELASCO,(591-2) 2409040,AVENIDA ISMAEL MONTES N  741,-16.4933167,-68.1369417,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
533,10,AGENCIA MIRAFLORES,(591-2) 2409040 ,DIAZ ROMERO No 1399 ESQUINA GAMARRA,-16.50141826234673,-68.12140881668402,True,False,La Paz,La Paz,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
534,11,AGENCIA VILLA FATIMA,(591-2) 2409040,AV. LAS AMERICAS S/N ESQ. CALLE PUENTE VILLA - EXFAB. DE CHOCOLATES CORONA,-16.4795222,-68.1207139,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
535,12,AGENCIA TORRE IDEA,(591-2) 2409040,AV ARCE ESQ ROSENDO GUTIERREZ EDIFICIO TORRE IDEA ,-16.5077176,-68.1262496,False,False,La Paz,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
536,13,AGENCIA ELOY SALMON,(591-2) 2409040,CALLE ELOY SALMÓN No 820,-16.4984361,-68.1431167,False,False,La Paz,La Paz,"Lun-Vie%09:00%13:00%15:00%18:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
537,15,AGENCIA 16 DE JULIO,+591 2 2409040,"URBANIZACIÓN VILLA 16 DE JULIO, LOTE S/N, MANZANO 19",-16.4985325,-68.1744087,False,False,El Alto,La Paz,"Lun-Vie%09:00%16:00,Sab%09:00%13:00",Aprobado,Agencia Fija,Agencia Fija,"OTORGACIÓN Y PAGO DE CRÉDITOS, APERTURA Y CIERRE DE CUENTAS, RETIROS Y DEPÓSITOS, SERVICIOS DE COBRANZA (ENTEL, NUEVATEL Y OTROS), GIROS NACIONALES Y DEL EXTERIOR Y OTROS SERVICIOS",False
